0482;25;ИЯТШ;Механика 1.3;Практика;Учебная аудитория;18;;
0482;25;ИЯТШ;Органическая химия;Практика;Лаборатория;18;;
0482;25;ИЯТШ;Основы права;Практика;Учебная аудитория;12;;
0482;25;ИЯТШ;Процессы и аппараты химической технологии;Практика;Лаборатория;9;;
0482;25;ИЯТШ;Творческий проект;Практика;Учебная аудитория;7;;
0482;25;ИЯТШ;Физика 2.2;Практика;Учебная аудитория;8;;
0482;25;ИЯТШ;Физика 3.2;Практика;Поточная лекционная аудитория;9;;
0482;25;ИЯТШ;Философия;Практика;Учебная аудитория;8;;
0482;25;ИЯТШ;Экономика;Практика;Учебная аудитория;13;;
0482;25;ИЯТШ;Электротехника 1.3;Лабораторные;Компьютерный класс;13;;
0482;25;ИЯТШ;Электротехника 1.3;Лабораторные;Лаборатория;5;;
0482;25;ИЯТШ;Электротехника 1.3;Практика;Компьютерный класс;5;;
0482;25;ИЯТШ;Электротехника 1.3;Практика;Лаборатория;4;;
"0482;0482";25;ИЯТШ;Аналитическая химия;Лабораторные;Лаборатория;34;;
"0482;0482";25;ИЯТШ;Процессы и аппараты химической технологии;Лабораторные;Лаборатория;28;;
"0482;0482";25;ИЯТШ;Физика 2.2;Лабораторные;Лаборатория;16;;
"0482;0482";25;ИЯТШ;Физика 3.2;Лабораторные;Лаборатория;9;;
"0482;0482;0482";13;ИЯТШ;Органическая химия;Лабораторные;Лаборатория;28;;
0491;24;ИЯТШ;Информатика;Лабораторные;Компьютерный класс;29;;
0491;24;ИЯТШ;Информатика;Лабораторные;Лаборатория;4;;
0491;24;ИЯТШ;История;Практика;Поточная лекционная аудитория;1;;
0491;24;ИЯТШ;История;Практика;Учебная аудитория;9;;
0491;24;ИЯТШ;Математика 1.1;Практика;Учебная аудитория;36;;
0491;24;ИЯТШ;Математика 2.1;Практика;Поточная лекционная аудитория;2;;
0491;24;ИЯТШ;Математика 2.1;Практика;Учебная аудитория;23;;
0491;24;ИЯТШ;Минералогия и геохимия;Практика;Лаборатория;9;;
0491;24;ИЯТШ;Начертательная геометрия и инженерная графика 1.2;Лабораторные;Компьютерный класс;17;;
0491;24;ИЯТШ;Начертательная геометрия и инженерная графика 2.2;Лабораторные;Компьютерный класс;18;;
0491;24;ИЯТШ;Основы алгоритмизации в химической технологии;Лабораторные;Компьютерный класс;17;;
0491;24;ИЯТШ;Основы информационной культуры;Практика;Компьютерный класс;4;;
0491;24;ИЯТШ;Предприимчивость;Практика;Учебная аудитория;8;;
0491;24;ИЯТШ;Физика 1.2;Лабораторные;Лаборатория;2;;
0491;24;ИЯТШ;Физика 1.2;Практика;Учебная аудитория;9;;
0491;24;ИЯТШ;Химия 1.1;Лабораторные;Лаборатория;16;;
0491;24;ИЯТШ;Химия 1.1;Практика;Поточная лекционная аудитория;8;;
0491;24;ИЯТШ;Химия 2.1;Лабораторные;Лаборатория;24;;
0491;24;ИЯТШ;Химия 2.1;Практика;Поточная лекционная аудитория;9;;
0491;24;ИЯТШ;Час куратора;Практика;Лаборатория;26;;
"0491;0491";24;ИЯТШ;Начертательная геометрия и инженерная графика 1.2;Практика;Учебная аудитория;18;;
"0491;0491";24;ИЯТШ;Начертательная геометрия и инженерная графика 2.2;Практика;Учебная аудитория;18;;
"0491;0491";24;ИЯТШ;Физика 1.2;Лабораторные;Лаборатория;8;;
"0491;0491";24;ИЯТШ;Химия 1.1;Лабораторные;Лаборатория;10;;
"0491;0491;0792";12;ИЯТШ;Химия 1.1;Лабораторные;Лаборатория;4;;
"0491;0491;0792";12;ИЯТШ;Химия 1.2;Лабораторные;Лаборатория;2;;
"0491;0492";24;ИЯТШ;Иностранный язык (английский);Практика;Компьютерный класс;25;;
